Job Title,Job URL,Job ID,Company Name,Job Location,Work Mode,Job Post Date
Senior Business Data Analyst,https://ca.indeed.com/rc/clk?jk=5218506ea08331cd&bb=WXw-MXPGbyKLW8dLCNpuni-Qtg6qVfeXQ8c9tR10s_F7XsFTp_Ba2blf_9M_DYb2D8DsMl-4yxmV7nJ4hayMhvxogd2xjUGxe0zep-vmXXqVXMsmzLT75A%3D%3D&xkcb=SoBj67M3DfbCfHwVW50LbzkdCdPP&fccid=7bbcdc23e9b092b7&vjs=3,job_5218506ea08331cd,Ontario Power Generation,"Toronto, ON",Hybrid remote,1 day
Analyst Data & Analytics,https://ca.indeed.com/rc/clk?jk=4bfc1ac401f02b9e&bb=WXw-MXPGbyKLW8dLCNpunqn5Y_M1AGcbd3NASd2iCl9O6x3nL9R1KG9ZKRxhSOWdirTSUSY2Fd3HXv8AFj4uLZbdZqk3nOQXm0SjZBM-4z9PF7jly7MUpg%3D%3D&xkcb=SoDX67M3DfbCfHwVW50KbzkdCdPP&fccid=1d6ec442ed82ef80&vjs=3,job_4bfc1ac401f02b9e,Canada Life Assurance Company,"Toronto, ON",,1 day
Customer Data Analyst,https://ca.indeed.com/rc/clk?jk=c7cfccbae21d4388&bb=WXw-MXPGbyKLW8dLCNpunh_kQ0Rd7Mb0-P9iE7BBMMAxExMBBYzyZYnxmnplKNhIvXoTaKMq8Ibhf4PYWWlYapLKwTrTZ41ArMikBgnxE14%3D&xkcb=SoBK67M3DfbCfHwVW50JbzkdCdPP&fccid=68bc43ebf2f50281&vjs=3,job_c7cfccbae21d4388,Grainger,"Thornhill, ON",,1 day
Data Insights and Reporting Analyst (Student Position),https://ca.indeed.com/rc/clk?jk=bcbb2b901836afa8&bb=WXw-MXPGbyKLW8dLCNpunnIrCjEyZYTRZHVK2y1dX_mPTDz4R9oHs3jDueUjXkGYZmSpbQZmQ6LiPss2ZrVU35apkLFWz3azGiRbG2StkaM%3D&xkcb=SoD-67M3DfbCfHwVW50IbzkdCdPP&fccid=c1099851e9794854&vjs=3,job_bcbb2b901836afa8,Apple,"Toronto, ON",Hybrid remote,1 day
Policy Analyst,https://ca.indeed.com/rc/clk?jk=61eef4ce20e867d5&bb=WXw-MXPGbyKLW8dLCNpuniVCdM0uy8p1tFZ6qBpx7VoET2Js8s3g35oJWY0f6vp6n052w71MtejAChcBB3o4u0cIM1Fi70magettarvX9IU%3D&xkcb=SoBw67M3DfbCfHwVW50PbzkdCdPP&fccid=28e5d100e91375bb&vjs=3,job_61eef4ce20e867d5,Ministry of Finance,"Toronto, ON",,1 day
Sustainability Data Analyst,https://ca.indeed.com/rc/clk?jk=72df9600b8d8b66d&bb=WXw-MXPGbyKLW8dLCNpunrCVodRLVnxz5fx-Ux_MC_78hI9wECz0VMXU0zmFvOGFvNIU2l0wEFhKBOV5WKbgQgTlmUbZGfElUbN_9PXu97g%3D&xkcb=SoDE67M3DfbCfHwVW50ObzkdCdPP&fccid=9917de3c28f569f6&vjs=3,job_72df9600b8d8b66d,JLL,"Toronto, ON",Hybrid remote,1 day
"Analyst, Audit Quality & Risk Management",https://ca.indeed.com/rc/clk?jk=ef47fa6ce90dc310&bb=WXw-MXPGbyKLW8dLCNpunle_xl0bK2uqK4kYJhd9JF6U-_kUvxSm6ocol9XKrYMBFAeXgLUOl1HAmX5Vo2oShodW7uFCxt9sF1jMVe74uF0%3D&xkcb=SoBZ67M3DfbCfHwVW50NbzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3,job_ef47fa6ce90dc310,KPMG,"Toronto, ON",,1 day
Data Analyst - (AWS / Python),https://ca.indeed.com/rc/clk?jk=f9f57a2355dd5aaa&bb=WXw-MXPGbyKLW8dLCNpunu0WYBj2MXx2tPqcAhg16qphnOwi30aiuIfbLxp6cMpgLjOFYcIn4CK2yytuHi5mmF7_KLC0yxZ_0B4MV2GDOPw%3D&xkcb=SoDt67M3DfbCfHwVW50MbzkdCdPP&fccid=618943d89d0005a6&vjs=3,job_f9f57a2355dd5aaa,Sun Life,"Toronto, ON",,1 day
Data Operations Analyst,https://ca.indeed.com/rc/clk?jk=796a17298146014e&bb=WXw-MXPGbyKLW8dLCNpuns9DL_4OK6a94gPWWwavaQIntGhEn7rH4RD7xcgbnCPHRoCIUyyhTtfsO5q74h7gdFx2CTBzrNwp-_P9gzvy3_OV6SGWw8fwqQ%3D%3D&xkcb=SoAE67M3DfbCfHwVW50DbzkdCdPP&fccid=bc30630cfcc120d4&vjs=3,job_796a17298146014e,Loblaw Companies Limited,"Brampton, ON",,1 day
Logistics Analyst,https://ca.indeed.com/rc/clk?jk=4088e99c61f7f1e7&bb=WXw-MXPGbyKLW8dLCNpunm7_W80uEd4IGxZ_zhvN-XCULR7Yks1jY5LTS4IKFqP7uOXOU9lpgtGwxicKVOSZx_8FspD0cPcNhfGzu7ENyXUvsSotb-OQUg%3D%3D&xkcb=SoCw67M3DfbCfHwVW50CbzkdCdPP&fccid=86e9be6ce380173e&vjs=3,job_4088e99c61f7f1e7,Tesla,"Markham, ON",,1 day
